,Distance
"('CD2', 'C35')",13.69
"('CD2', 'C36')",11.7
"('CD2', 'C37')",9.33
"('CD2', 'C38')",22.15
"('CD3', 'CD1')",13.9
"('CD3', 'CD2')",38.88
"('CD3', 'CD3')",0.0
"('CD3', 'CD4')",15.76
"('CD3', 'CD5')",32.09
"('CD3', 'CD6')",28.18
"('CD3', 'CD7')",26.98
"('CD3', 'CD8')",24.86
"('CD3', 'CD9')",17.63
"('CD3', 'CD10')",36.57
"('CD3', 'CD11')",24.77
"('CD3', 'CD12')",32.18
"('CD3', 'C1')",30.19
"('CD3', 'C2')",10.52
"('CD3', 'C3')",30.94
"('CD3', 'C4')",13.79
"('CD3', 'C5')",6.1
"('CD3', 'C6')",7.04
"('CD3', 'C7')",14.77
"('CD3', 'C8')",41.65
"('CD3', 'C9')",20.73
"('CD3', 'C10')",19.84
"('CD3', 'C11')",29.47
"('CD3', 'C12')",21.3
"('CD3', 'C13')",31.99
"('CD3', 'C14')",20.57
"('CD3', 'C15')",28.05
"('CD3', 'C16')",31.8
"('CD3', 'C17')",34.41
"('CD3', 'C18')",31.99
"('CD3', 'C19')",35.68
"('CD3', 'C20')",18.9
"('CD3', 'C21')",23.81
"('CD3', 'C22')",32.09
"('CD3', 'C23')",28.83
"('CD3', 'C24')",24.44
"('CD3', 'C25')",36.76
"('CD3', 'C26')",29.41
"('CD3', 'C27')",32.7
"('CD3', 'C28')",30.13
"('CD3', 'C29')",20.61
"('CD3', 'C30')",29.19
"('CD3', 'C31')",5.57
"('CD3', 'C32')",28.62
"('CD3', 'C33')",36.49
"('CD3', 'C34')",28.03
"('CD3', 'C35')",24.97
"('CD3', 'C36')",37.24
"('CD3', 'C37')",29.76
"('CD3', 'C38')",25.47
"('CD4', 'CD1')",5.5
"('CD4', 'CD2')",29.42
"('CD4', 'CD3')",10.61
"('CD4', 'CD4')",0.0
"('CD4', 'CD5')",17.38
"('CD4', 'CD6')",13.47
"('CD4', 'CD7')",17.53
"('CD4', 'CD8')",10.14
"('CD4', 'CD9')",7.05
"('CD4', 'CD10')",27.11
"('CD4', 'CD11')",10.06
"('CD4', 'CD12')",22.72
"('CD4', 'C1')",15.47
"('CD4', 'C2')",8.92
"('CD4', 'C3')",16.22
"('CD4', 'C4')",6.49
"('CD4', 'C5')",16.72
"('CD4', 'C6')",12.04
"('CD4', 'C7')",0.42
"('CD4', 'C8')",27.75
"('CD4', 'C9')",6.01
"('CD4', 'C10')",11.56
"('CD4', 'C11')",14.75
"('CD4', 'C12')",13.87
"('CD4', 'C13')",17.27
"('CD4', 'C14')",12.29
"('CD4', 'C15')",18.6
"('CD4', 'C16')",17.08
"('CD4', 'C17')",19.69
"('CD4', 'C18')",20.07
"('CD4', 'C19')",20.96
"('CD4', 'C20')",7.45
"('CD4', 'C21')",9.1
"('CD4', 'C22')",22.64
"('CD4', 'C23')",19.38
"('CD4', 'C24')",14.99
"('CD4', 'C25')",27.31
"('CD4', 'C26')",14.69
"('CD4', 'C27')",23.25
"('CD4', 'C28')",15.41
"('CD4', 'C29')",5.9
"('CD4', 'C30')",14.48
"('CD4', 'C31')",16.19
"('CD4', 'C32')",13.91
"('CD4', 'C33')",21.78
"('CD4', 'C34')",18.58
"('CD4', 'C35')",16.69
"('CD4', 'C36')",24.98
"('CD4', 'C37')",20.31
"('CD4', 'C38')",10.76
"('CD5', 'CD1')",20.63
"('CD5', 'CD2')",15.06
"('CD5', 'CD3')",27.62
"('CD5', 'CD4')",17.06
"('CD5', 'CD5')",0.0
"('CD5', 'CD6')",6.26
"('CD5', 'CD7')",8.53
"('CD5', 'CD8')",11.28
"('CD5', 'CD9')",19.17
"('CD5', 'CD10')",9.56
"('CD5', 'CD11')",10.94
"('CD5', 'CD12')",4.87
"('CD5', 'C1')",11.31
"('CD5', 'C2')",25.93
"('CD5', 'C3')",2.77
"('CD5', 'C4')",23.5
"('CD5', 'C5')",33.73
"('CD5', 'C6')",29.05
"('CD5', 'C7')",17.44
"('CD5', 'C8')",11.07
"('CD5', 'C9')",18.12
"('CD5', 'C10')",16.53
"('CD5', 'C11')",11.1
"('CD5', 'C12')",18.84
"('CD5', 'C13')",7.09
"('CD5', 'C14')",17.25
"('CD5', 'C15')",9.71
"('CD5', 'C16')",1.47
"('CD5', 'C17')",6.09
"('CD5', 'C18')",2.41
"('CD5', 'C19')",8.99
"('CD5', 'C20')",17.54
"('CD5', 'C21')",16.6
"('CD5', 'C22')",3.54
"('CD5', 'C23')",10.49
"('CD5', 'C24')",10.82
"('CD5', 'C25')",12.38
"('CD5', 'C26')",8.82
"('CD5', 'C27')",8.31
"('CD5', 'C28')",3.67
"('CD5', 'C29')",16.23
"('CD5', 'C30')",7.94
"('CD5', 'C31')",33.2
"('CD5', 'C32')",9.78
"('CD5', 'C33')",12.13
"('CD5', 'C34')",10.8
"('CD5', 'C35')",12.11
"('CD5', 'C36')",6.09
"('CD5', 'C37')",5.98
"('CD5', 'C38')",9.25
"('CD6', 'CD1')",14.73
"('CD6', 'CD2')",18.66
"('CD6', 'CD3')",21.72
"('CD6', 'CD4')",11.15
"('CD6', 'CD5')",6.78
"('CD6', 'CD6')",0.0
"('CD6', 'CD7')",5.96
"('CD6', 'CD8')",5.38
"('CD6', 'CD9')",13.26
"('CD6', 'CD10')",16.35
"('CD6', 'CD11')",4.49
"('CD6', 'CD12')",10.5
"('CD6', 'C1')",6.13
"('CD6', 'C2')",20.02
"('CD6', 'C3')",5.63
"('CD6', 'C4')",17.6
"('CD6', 'C5')",27.82
"('CD6', 'C6')",23.14
"('CD6', 'C7')",11.53
"('CD6', 'C8')",17.16
"('CD6', 'C9')",12.22
"('CD6', 'C10')",11.63
"('CD6', 'C11')",5.93
"('CD6', 'C12')",13.94
"('CD6', 'C13')",6.68
"('CD6', 'C14')",12.35
"('CD6', 'C15')",7.96
"('CD6', 'C16')",6.49
"('CD6', 'C17')",6.28
"('CD6', 'C18')",7.5
"('CD6', 'C19')",10.37
"('CD6', 'C20')",13.75
"('CD6', 'C21')",10.69
"('CD6', 'C22')",9.16
"('CD6', 'C23')",8.2
"('CD6', 'C24')",8.24
"('CD6', 'C25')",16.55
"('CD6', 'C26')",3.65
"('CD6', 'C27')",12.49
"('CD6', 'C28')",3.8
"('CD6', 'C29')",10.32
"('CD6', 'C30')",2.87
"('CD6', 'C31')",27.29
"('CD6', 'C32')",4.6
"('CD6', 'C33')",11.19
"('CD6', 'C34')",7.33
"('CD6', 'C35')",9.53
"('CD6', 'C36')",12.41
"('CD6', 'C37')",9.56
"('CD6', 'C38')",3.33
"('CD7', 'CD1')",19.64
"('CD7', 'CD2')",13.82
"('CD7', 'CD3')",22.64
"('CD7', 'CD4')",16.06
"('CD7', 'CD5')",9.38
"('CD7', 'CD6')",5.86
"('CD7', 'CD7')",0.0
"('CD7', 'CD8')",10.8
"('CD7', 'CD9')",18.18
"('CD7', 'CD10')",11.51
"('CD7', 'CD11')",7.03
"('CD7', 'CD12')",7.21
"('CD7', 'C1')",10.61
"('CD7', 'C2')",20.94
"('CD7', 'C3')",8.22
"('CD7', 'C4')",18.52
"('CD7', 'C5')",28.75
"('CD7', 'C6')",24.07
"('CD7', 'C7')",16.45
"('CD7', 'C8')",16.69
"('CD7', 'C9')",17.13
"('CD7', 'C10')",7.96
"('CD7', 'C11')",10.41
"('CD7', 'C12')",10.4
"('CD7', 'C13')",9.61
"('CD7', 'C14')",9.22
"('CD7', 'C15')",3.1
"('CD7', 'C16')",9.08
"('CD7', 'C17')",8.62
"('CD7', 'C18')",7.03
"('CD7', 'C19')",13.83
"('CD7', 'C20')",11.81
"('CD7', 'C21')",16.29
"('CD7', 'C22')",7.13
"('CD7', 'C23')",3.36
"('CD7', 'C24')",4.21
"('CD7', 'C25')",11.71
"('CD7', 'C26')",8.13
"('CD7', 'C27')",7.64
"('CD7', 'C28')",6.46
"('CD7', 'C29')",15.91
"('CD7', 'C30')",3.35
"('CD7', 'C31')",28.21
"('CD7', 'C32')",9.09
"('CD7', 'C33')",14.65
"('CD7', 'C34')",2.48
"('CD7', 'C35')",5.5
"('CD7', 'C36')",12.28
"('CD7', 'C37')",4.72
"('CD7', 'C38')",8.73
"('CD8', 'CD1')",13.91
"('CD8', 'CD2')",23.33
"('CD8', 'CD3')",20.9
"('CD8', 'CD4')",10.33
"('CD8', 'CD5')",11.01
"('CD8', 'CD6')",7.1
"('CD8', 'CD7')",9.73
"('CD8', 'CD8')",0.0
"('CD8', 'CD9')",12.45
"('CD8', 'CD10')",21.02
"('CD8', 'CD11')",3.69
"('CD8', 'CD12')",15.75
"('CD8', 'C1')",7.87
"('CD8', 'C2')",19.2
"('CD8', 'C3')",9.86
"('CD8', 'C4')",16.78
"('CD8', 'C5')",27.01
"('CD8', 'C6')",22.33
"('CD8', 'C7')",10.72
"('CD8', 'C8')",21.39
"('CD8', 'C9')",11.4
"('CD8', 'C10')",10.81
"('CD8', 'C11')",7.15
"('CD8', 'C12')",13.13
"('CD8', 'C13')",10.16
"('CD8', 'C14')",11.54
"('CD8', 'C15')",12.56
"('CD8', 'C16')",10.72
"('CD8', 'C17')",13.33
"('CD8', 'C18')",12.75
"('CD8', 'C19')",13.85
"('CD8', 'C20')",12.93
"('CD8', 'C21')",9.88
"('CD8', 'C22')",14.41
"('CD8', 'C23')",12.87
"('CD8', 'C24')",8.94
"('CD8', 'C25')",21.22
"('CD8', 'C26')",7.09
"('CD8', 'C27')",17.16
"('CD8', 'C28')",9.05
"('CD8', 'C29')",9.51
"('CD8', 'C30')",8.11
"('CD8', 'C31')",26.48
"('CD8', 'C32')",6.3
"('CD8', 'C33')",14.67
"('CD8', 'C34')",12.0
"('CD8', 'C35')",11.26
"('CD8', 'C36')",17.66
"('CD8', 'C37')",14.23
"('CD8', 'C38')",4.39
"('CD9', 'CD1')",3.98
"('CD9', 'CD2')",30.24
"('CD9', 'CD3')",17.75
"('CD9', 'CD4')",7.1
"('CD9', 'CD5')",20.04
"('CD9', 'CD6')",16.47
"('CD9', 'CD7')",18.34
"('CD9', 'CD8')",9.57
"('CD9', 'CD9')",0.0
"('CD9', 'CD10')",27.93
"('CD9', 'CD11')",11.69
"('CD9', 'CD12')",23.54
"('CD9', 'C1')",13.03
"('CD9', 'C2')",16.05
"('CD9', 'C3')",20.56
"('CD9', 'C4')",13.63
"('CD9', 'C5')",14.29
"('CD9', 'C6')",19.18
"('CD9', 'C7')",7.52
"('CD9', 'C8')",33.16
"('CD9', 'C9')",1.78
"('CD9', 'C10')",12.38
"('CD9', 'C11')",12.31
"('CD9', 'C12')",14.69
"('CD9', 'C13')",15.32
"('CD9', 'C14')",13.1
"('CD9', 'C15')",19.42
"('CD9', 'C16')",21.42
"('CD9', 'C17')",20.96
"('CD9', 'C18')",20.88
"('CD9', 'C19')",19.01
"('CD9', 'C20')",10.89
"('CD9', 'C21')",5.0
"('CD9', 'C22')",23.46
"('CD9', 'C23')",20.2
"('CD9', 'C24')",15.81
"('CD9', 'C25')",28.12
"('CD9', 'C26')",12.25
"('CD9', 'C27')",24.06
"('CD9', 'C28')",18.19
"('CD9', 'C29')",4.1
"('CD9', 'C30')",17.26
"('CD9', 'C31')",15.12
"('CD9', 'C32')",11.46
"('CD9', 'C33')",19.83
"('CD9', 'C34')",19.39
"('CD9', 'C35')",17.51
"('CD9', 'C36')",25.79
"('CD9', 'C37')",21.12
"('CD9', 'C38')",10.79
"('CD10', 'CD1')",30.76
"('CD10', 'CD2')",2.49
"('CD10', 'CD3')",31.84
"('CD10', 'CD4')",27.18
"('CD10', 'CD5')",10.43
"('CD10', 'CD6')",16.17
"('CD10', 'CD7')",11.9
"('CD10', 'CD8')",21.87
"('CD10', 'CD9')",29.3
"('CD10', 'CD10')",0.0
"('CD10', 'CD11')",18.1
"('CD10', 'CD12')",5.16
"('CD10', 'C1')",20.92
"('CD10', 'C2')",30.14
"('CD10', 'C3')",12.26
"('CD10', 'C4')",27.72
"('CD10', 'C5')",37.94
"('CD10', 'C6')",33.27
"('CD10', 'C7')",27.57
"('CD10', 'C8')",13.75
"('CD10', 'C9')",28.25
"('CD10', 'C10')",17.15
"('CD10', 'C11')",20.72
"('CD10', 'C12')",16.58
"('CD10', 'C13')",16.58
"('CD10', 'C14')",15.38
"('CD10', 'C15')",9.88
"('CD10', 'C16')",10.96
"('CD10', 'C17')",15.59
"('CD10', 'C18')",7.97
"('CD10', 'C19')",16.13
"('CD10', 'C20')",21.0
"('CD10', 'C21')",26.59
"('CD10', 'C22')",6.11
"('CD10', 'C23')",8.38
"('CD10', 'C24')",12.9
"('CD10', 'C25')",2.93
"('CD10', 'C26')",18.44
"('CD10', 'C27')",4.14
"('CD10', 'C28')",13.17
"('CD10', 'C29')",26.22
"('CD10', 'C30')",13.66
"('CD10', 'C31')",37.41
"('CD10', 'C32')",19.39
"('CD10', 'C33')",17.73
"('CD10', 'C34')",10.0
"('CD10', 'C35')",11.45
"('CD10', 'C36')",7.83
"('CD10', 'C37')",7.09
"('CD10', 'C38')",19.04
"('CD11', 'CD1')",12.61
"('CD11', 'CD2')",22.1
"('CD11', 'CD3')",19.6
"('CD11', 'CD4')",9.03
"('CD11', 'CD5')",12.18
"('CD11', 'CD6')",5.19
"('CD11', 'CD7')",8.5
"('CD11', 'CD8')",3.26
"('CD11', 'CD9')",11.14
"('CD11', 'CD10')",19.79
"('CD11', 'CD11')",0.0
"('CD11', 'CD12')",13.84
"('CD11', 'C1')",8.48
"('CD11', 'C2')",17.9
"('CD11', 'C3')",11.02
"('CD11', 'C4')",15.48
"('CD11', 'C5')",25.7
"('CD11', 'C6')",21.03
"('CD11', 'C7')",9.41
"('CD11', 'C8')",23.11
"('CD11', 'C9')",10.1
"('CD11', 'C10')",9.51
"('CD11', 'C11')",7.76
"('CD11', 'C12')",11.82
"('CD11', 'C13')",9.67
"('CD11', 'C14')",10.23
"('CD11', 'C15')",11.33
"('CD11', 'C16')",11.88
"('CD11', 'C17')",11.42
"('CD11', 'C18')",10.84
"('CD11', 'C19')",13.36
"('CD11', 'C20')",11.63
"('CD11', 'C21')",8.57
"('CD11', 'C22')",12.5
"('CD11', 'C23')",11.64
"('CD11', 'C24')",8.66
"('CD11', 'C25')",19.99
"('CD11', 'C26')",6.92
"('CD11', 'C27')",15.93
"('CD11', 'C28')",7.14
"('CD11', 'C29')",8.2
"('CD11', 'C30')",6.2
"('CD11', 'C31')",25.17
"('CD11', 'C32')",6.13
"('CD11', 'C33')",14.18
"('CD11', 'C34')",10.77
"('CD11', 'C35')",14.64
"('CD11', 'C36')",15.75
"('CD11', 'C37')",13.0
"('CD11', 'C38')",3.16
"('CD12', 'CD1')",25.35
"('CD12', 'CD2')",6.76
"('CD12', 'CD3')",27.66
"('CD12', 'CD4')",21.77
"('CD12', 'CD5')",5.65
"('CD12', 'CD6')",10.97
"('CD12', 'CD7')",7.97
"('CD12', 'CD8')",16.0
"('CD12', 'CD9')",23.88
"('CD12', 'CD10')",5.3
"('CD12', 'CD11')",13.3
"('CD12', 'CD12')",0.0
"('CD12', 'C1')",16.02
"('CD12', 'C2')",25.97
"('CD12', 'C3')",7.48
"('CD12', 'C4')",23.54
"('CD12', 'C5')",33.77
"('CD12', 'C6')",29.09
"('CD12', 'C7')",22.16
"('CD12', 'C8')",9.48
"('CD12', 'C9')",22.84
"('CD12', 'C10')",12.98
"('CD12', 'C11')",15.82
"('CD12', 'C12')",15.42
"('CD12', 'C13')",11.81
"('CD12', 'C14')",14.24
"('CD12', 'C15')",5.61
"('CD12', 'C16')",6.19
"('CD12', 'C17')",10.81
"('CD12', 'C18')",3.19
"('CD12', 'C19')",11.35
"('CD12', 'C20')",16.83
"('CD12', 'C21')",21.32
"('CD12', 'C22')",1.61
"('CD12', 'C23')",6.39
"('CD12', 'C24')",8.72
"('CD12', 'C25')",7.94
"('CD12', 'C26')",13.54
"('CD12', 'C27')",4.09
"('CD12', 'C28')",8.39
"('CD12', 'C29')",20.95
"('CD12', 'C30')",9.25
"('CD12', 'C31')",33.24
"('CD12', 'C32')",14.5
"('CD12', 'C33')",12.96
"('CD12', 'C34')",5.75
"('CD12', 'C35')",11.34
"('CD12', 'C36')",5.5
"('CD12', 'C37')",3.1
"('CD12', 'C38')",13.96
"('C1', 'CD1')",18.86
"('C1', 'CD2')",23.15
"('C1', 'CD3')",25.84
"('C1', 'CD4')",15.28
"('C1', 'CD5')",10.46
"('C1', 'CD6')",5.94
"('C1', 'CD7')",10.44
"('C1', 'CD8')",7.9
"('C1', 'CD9')",17.39
"('C1', 'CD10')",20.84
"('C1', 'CD11')",8.64
"('C1', 'CD12')",14.98
"('C1', 'C1')",0.0
"('C1', 'C2')",24.15
"('C1', 'C3')",9.31
"('C1', 'C4')",21.72
"('C1', 'C5')",31.95
"('C1', 'C6')",27.27
"('C1', 'C7')",15.66
"('C1', 'C8')",20.84
"('C1', 'C9')",11.74
"('C1', 'C10')",15.76
"('C1', 'C11')",1.38
"('C1', 'C12')",18.07
"('C1', 'C13')",7.56
"('C1', 'C14')",16.48
"('C1', 'C15')",12.45
"('C1', 'C16')",10.17
"('C1', 'C17')",8.42
"('C1', 'C18')",11.98
"('C1', 'C19')",11.25
"('C1', 'C20')",17.88
"('C1', 'C21')",11.71
"('C1', 'C22')",13.64
"('C1', 'C23')",12.69
"('C1', 'C24')",12.73
"('C1', 'C25')",21.04
"('C1', 'C26')",2.06
"('C1', 'C27')",16.98
"('C1', 'C28')",8.28
"('C1', 'C29')",10.39
"('C1', 'C30')",7.35
"('C1', 'C31')",31.42
"('C1', 'C32')",2.28
"('C1', 'C33')",12.07
"('C1', 'C34')",11.82
"('C1', 'C35')",14.02
"('C1', 'C36')",15.85
"('C1', 'C37')",14.05
"('C1', 'C38')",5.43
"('C2', 'CD1')",10.15
"('C2', 'CD2')",31.95
"('C2', 'CD3')",9.28
"('C2', 'CD4')",9.96
"('C2', 'CD5')",27.73
"('C2', 'CD6')",23.95
"('C2', 'CD7')",20.05
"('C2', 'CD8')",20.62
"('C2', 'CD9')",13.87
"('C2', 'CD10')",29.63
"('C2', 'CD11')",20.53
"('C2', 'CD12')",25.25
"('C2', 'C1')",25.95
"('C2', 'C2')",0.0
"('C2', 'C3')",26.58
"('C2', 'C4')",4.07
"('C2', 'C5')",15.38
"('C2', 'C6')",10.7
"('C2', 'C7')",8.97
"('C2', 'C8')",34.72
"('C2', 'C9')",16.49
"('C2', 'C10')",14.73
"('C2', 'C11')",25.23
"('C2', 'C12')",11.72
"('C2', 'C13')",27.75
"('C2', 'C14')",15.45
"('C2', 'C15')",21.12
"('C2', 'C16')",27.44
"('C2', 'C17')",26.97
"('C2', 'C18')",25.06
"('C2', 'C19')",31.44
"('C2', 'C20')",9.9
"('C2', 'C21')",19.57
"('C2', 'C22')",25.16
"('C2', 'C23')",21.9
"('C2', 'C24')",17.51
"('C2', 'C25')",29.83
"('C2', 'C26')",25.17
"('C2', 'C27')",25.77
"('C2', 'C28')",24.81
"('C2', 'C29')",16.37
"('C2', 'C30')",21.71
"('C2', 'C31')",14.85
"('C2', 'C32')",24.38
"('C2', 'C33')",32.26
"('C2', 'C34')",21.1
"('C2', 'C35')",17.65
"('C2', 'C36')",30.31
"('C2', 'C37')",22.83
"('C2', 'C38')",21.23
"('C3', 'CD1')",20.29
"('C3', 'CD2')",16.65
"('C3', 'CD3')",27.28
"('C3', 'CD4')",16.71
"('C3', 'CD5')",2.29
"('C3', 'CD6')",5.91
"('C3', 'CD7')",8.19
"('C3', 'CD8')",10.94
"('C3', 'CD9')",18.83
"('C3', 'CD10')",11.5
"('C3', 'CD11')",10.6
"('C3', 'CD12')",6.82
"('C3', 'C1')",10.97
"('C3', 'C2')",25.58
"('C3', 'C3')",0.0
"('C3', 'C4')",23.16
"('C3', 'C5')",33.39
"('C3', 'C6')",28.71
"('C3', 'C7')",17.1
"('C3', 'C8')",12.66
"('C3', 'C9')",17.78
"('C3', 'C10')",16.19
"('C3', 'C11')",10.76
"('C3', 'C12')",18.5
"('C3', 'C13')",6.75
"('C3', 'C14')",16.91
"('C3', 'C15')",9.37
"('C3', 'C16')",1.99
"('C3', 'C17')",5.75
"('C3', 'C18')",4.29
"('C3', 'C19')",5.54
"('C3', 'C20')",17.2
"('C3', 'C21')",16.26
"('C3', 'C22')",6.2
"('C3', 'C23')",10.15
"('C3', 'C24')",10.48
"('C3', 'C25')",12.51
"('C3', 'C26')",8.48
"('C3', 'C27')",8.44
"('C3', 'C28')",3.33
"('C3', 'C29')",15.89
"('C3', 'C30')",7.59
"('C3', 'C31')",32.85
"('C3', 'C32')",9.44
"('C3', 'C33')",8.54
"('C3', 'C34')",10.46
"('C3', 'C35')",11.77
"('C3', 'C36')",7.68
"('C3', 'C37')",6.11
"('C3', 'C38')",8.9
"('C4', 'CD1')",8.68
"('C4', 'CD2')",30.0
"('C4', 'CD3')",7.85
"('C4', 'CD4')",6.2
"('C4', 'CD5')",21.9
"('C4', 'CD6')",17.99
"('C4', 'CD7')",18.1
"('C4', 'CD8')",14.66
"('C4', 'CD9')",9.14
"('C4', 'CD10')",27.69
"('C4', 'CD11')",14.58
"('C4', 'CD12')",23.3
"('C4', 'C1')",20.0
"('C4', 'C2')",3.72
"('C4', 'C3')",20.75
"('C4', 'C4')",0.0
"('C4', 'C5')",13.96
"('C4', 'C6')",9.28
"('C4', 'C7')",5.21
"('C4', 'C8')",32.78
"('C4', 'C9')",10.53
"('C4', 'C10')",10.97
"('C4', 'C11')",19.27
"('C4', 'C12')",12.43
"('C4', 'C13')",21.79
"('C4', 'C14')",11.69
"('C4', 'C15')",19.18
"('C4', 'C16')",21.6
"('C4', 'C17')",24.21
"('C4', 'C18')",23.11
"('C4', 'C19')",25.48
"('C4', 'C20')",7.11
"('C4', 'C21')",13.62
"('C4', 'C22')",23.22
"('C4', 'C23')",19.96
"('C4', 'C24')",15.57
"('C4', 'C25')",27.89
"('C4', 'C26')",19.22
"('C4', 'C27')",23.83
"('C4', 'C28')",19.93
"('C4', 'C29')",10.42
"('C4', 'C30')",19.0
"('C4', 'C31')",13.43
"('C4', 'C32')",18.43
"('C4', 'C33')",26.3
"('C4', 'C34')",19.16
"('C4', 'C35')",16.1
"('C4', 'C36')",28.37
"('C4', 'C37')",20.88
"('C4', 'C38')",15.28
"('C5', 'CD1')",14.15
"('C5', 'CD2')",39.13
"('C5', 'CD3')",8.06
"('C5', 'CD4')",16.01
"('C5', 'CD5')",32.35
"('C5', 'CD6')",28.44
"('C5', 'CD7')",27.23
"('C5', 'CD8')",25.11
"('C5', 'CD9')",14.58
"('C5', 'CD10')",36.82
"('C5', 'CD11')",25.03
"('C5', 'CD12')",32.43
"('C5', 'C1')",30.44
"('C5', 'C2')",15.26
"('C5', 'C3')",31.19
"('C5', 'C4')",14.04
"('C5', 'C5')",0.0
"('C5', 'C6')",7.29
"('C5', 'C7')",15.02
"('C5', 'C8')",41.91
"('C5', 'C9')",15.67
"('C5', 'C10')",20.1
"('C5', 'C11')",29.72
"('C5', 'C12')",21.55
"('C5', 'C13')",32.24
"('C5', 'C14')",20.82
"('C5', 'C15')",28.31
"('C5', 'C16')",32.05
"('C5', 'C17')",34.66
"('C5', 'C18')",32.24
"('C5', 'C19')",35.93
"('C5', 'C20')",19.16
"('C5', 'C21')",24.07
"('C5', 'C22')",32.35
"('C5', 'C23')",29.09
"('C5', 'C24')",24.7
"('C5', 'C25')",37.01
"('C5', 'C26')",29.66
"('C5', 'C27')",32.95
"('C5', 'C28')",30.38
"('C5', 'C29')",20.87
"('C5', 'C30')",29.45
"('C5', 'C31')",2.99
"('C5', 'C32')",28.88
"('C5', 'C33')",36.75
"('C5', 'C34')",28.28
"('C5', 'C35')",25.23
"('C5', 'C36')",37.5
"('C5', 'C37')",30.01
"('C5', 'C38')",25.73
"('C6', 'CD1')",8.05
"('C6', 'CD2')",33.03
"('C6', 'CD3')",7.81
"('C6', 'CD4')",9.91
"('C6', 'CD5')",26.25
"('C6', 'CD6')",22.34
"('C6', 'CD7')",21.13
"('C6', 'CD8')",19.01
"('C6', 'CD9')",11.78
"('C6', 'CD10')",30.72
"('C6', 'CD11')",18.92
"('C6', 'CD12')",26.33
"('C6', 'C1')",24.34
"('C6', 'C2')",9.16
"('C6', 'C3')",25.09
"('C6', 'C4')",7.94
"('C6', 'C5')",13.92
"('C6', 'C6')",0.0
"('C6', 'C7')",8.92
"('C6', 'C8')",35.81
"('C6', 'C9')",14.88
"('C6', 'C10')",14.0
"('C6', 'C11')",23.62
"('C6', 'C12')",15.45
"('C6', 'C13')",26.14
"('C6', 'C14')",14.72
"('C6', 'C15')",22.21
"('C6', 'C16')",25.95
