origen,destino,distancia_km
CD3,C21,23.81
CD3,C22,32.09
CD4,CD1,5.5
CD4,CD2,29.42
CD4,CD3,10.61
CD4,CD4,999.0
CD4,CD5,17.38
CD4,CD6,13.47
CD4,CD7,17.53
CD4,CD8,10.14
CD4,CD9,7.05
CD4,CD10,27.11
CD4,CD11,10.06
CD4,CD12,22.72
CD4,C1,15.47
CD4,C2,8.92
CD4,C3,16.22
CD4,C4,6.49
CD4,C5,16.72
CD4,C6,12.04
CD4,C7,0.42
CD4,C8,27.75
CD4,C9,6.01
CD4,C10,11.56
CD4,C11,14.75
CD4,C12,13.87
CD4,C13,17.27
CD4,C14,12.29
CD4,C15,18.6
CD4,C16,17.08
CD4,C17,19.69
CD4,C18,20.07
CD4,C19,20.96
CD4,C20,7.45
CD4,C21,9.1
CD4,C22,22.64
CD5,CD1,20.63
CD5,CD2,15.06
CD5,CD3,27.62
CD5,CD4,17.06
CD5,CD5,999.0
CD5,CD6,6.26
CD5,CD7,8.53
CD5,CD8,11.28
CD5,CD9,19.17
CD5,CD10,9.56
CD5,CD11,10.94
CD5,CD12,4.87
CD5,C1,11.31
CD5,C2,25.93
CD5,C3,2.77
CD5,C4,23.5
CD5,C5,33.73
CD5,C6,29.05
CD5,C7,17.44
CD5,C8,11.07
CD5,C9,18.12
CD5,C10,16.53
CD5,C11,11.1
CD5,C12,18.84
CD5,C13,7.09
CD5,C14,17.25
CD5,C15,9.71
CD5,C16,1.47
CD5,C17,6.09
CD5,C18,2.41
CD5,C19,8.99
CD5,C20,17.54
CD5,C21,16.6
CD5,C22,3.54
CD6,CD1,14.73
CD6,CD2,18.66
CD6,CD3,21.72
CD6,CD4,11.15
CD6,CD5,6.78
CD6,CD6,999.0
CD6,CD7,5.96
CD6,CD8,5.38
CD6,CD9,13.26
CD6,CD10,16.35
CD6,CD11,4.49
CD6,CD12,10.5
CD6,C1,6.13
CD6,C2,20.02
CD6,C3,5.63
CD6,C4,17.6
CD6,C5,27.82
CD6,C6,23.14
CD6,C7,11.53
CD6,C8,17.16
CD6,C9,12.22
CD6,C10,11.63
CD6,C11,5.93
CD6,C12,13.94
CD6,C13,6.68
CD6,C14,12.35
CD6,C15,7.96
CD6,C16,6.49
CD6,C17,6.28
CD6,C18,7.5
CD6,C19,10.37
CD6,C20,13.75
CD6,C21,10.69
CD6,C22,9.16
CD7,CD1,19.64
CD7,CD2,13.82
CD7,CD3,22.64
CD7,CD4,16.06
CD7,CD5,9.38
CD7,CD6,5.86
CD7,CD7,999.0
CD7,CD8,10.8
CD7,CD9,18.18
CD7,CD10,11.51
CD7,CD11,7.03
CD7,CD12,7.21
CD7,C1,10.61
CD7,C2,20.94
CD7,C3,8.22
CD7,C4,18.52
CD7,C5,28.75
CD7,C6,24.07
CD7,C7,16.45
CD7,C8,16.69
CD7,C9,17.13
CD7,C10,7.96
CD7,C11,10.41
CD7,C12,10.4
CD7,C13,9.61
CD7,C14,9.22
CD7,C15,3.1
CD7,C16,9.08
CD7,C17,8.62
CD7,C18,7.03
CD7,C19,13.83
CD7,C20,11.81
CD7,C21,16.29
CD7,C22,7.13
CD8,CD1,13.91
CD8,CD2,23.33
CD8,CD3,20.9
CD8,CD4,10.33
CD8,CD5,11.01
CD8,CD6,7.1
CD8,CD7,9.73
CD8,CD8,999.0
CD8,CD9,12.45
CD8,CD10,21.02
CD8,CD11,3.69
CD8,CD12,15.75
CD8,C1,7.87
CD8,C2,19.2
CD8,C3,9.86
CD8,C4,16.78
CD8,C5,27.01
CD8,C6,22.33
CD8,C7,10.72
CD8,C8,21.39
CD8,C9,11.4
CD8,C10,10.81
CD8,C11,7.15
CD8,C12,13.13
CD8,C13,10.16
CD8,C14,11.54
CD8,C15,12.56
CD8,C16,10.72
CD8,C17,13.33
CD8,C18,12.75
CD8,C19,13.85
CD8,C20,12.93
CD8,C21,9.88
CD8,C22,14.41
CD9,CD1,3.98
CD9,CD2,30.24
CD9,CD3,17.75
CD9,CD4,7.1
CD9,CD5,20.04
CD9,CD6,16.47
CD9,CD7,18.34
CD9,CD8,9.57
CD9,CD9,999.0
CD9,CD10,27.93
CD9,CD11,11.69
CD9,CD12,23.54
CD9,C1,13.03
CD9,C2,16.05
CD9,C3,20.56
CD9,C4,13.63
CD9,C5,14.29
CD9,C6,19.18
CD9,C7,7.52
CD9,C8,33.16
CD9,C9,1.78
CD9,C10,12.38
CD9,C11,12.31
CD9,C12,14.69
CD9,C13,15.32
CD9,C14,13.1
CD9,C15,19.42
CD9,C16,21.42
CD9,C17,20.96
CD9,C18,20.88
CD9,C19,19.01
CD9,C20,10.89
CD9,C21,5.0
CD9,C22,23.46
CD10,CD1,30.76
CD10,CD2,2.49
CD10,CD3,31.84
CD10,CD4,27.18
CD10,CD5,10.43
CD10,CD6,16.17
CD10,CD7,11.9
CD10,CD8,21.87
CD10,CD9,29.3
CD10,CD10,999.0
CD10,CD11,18.1
CD10,CD12,5.16
CD10,C1,20.92
CD10,C2,30.14
CD10,C3,12.26
CD10,C4,27.72
CD10,C5,37.94
CD10,C6,33.27
CD10,C7,27.57
CD10,C8,13.75
CD10,C9,28.25
CD10,C10,17.15
CD10,C11,20.72
CD10,C12,16.58
CD10,C13,16.58
CD10,C14,15.38
CD10,C15,9.88
CD10,C16,10.96
CD10,C17,15.59
CD10,C18,7.97
CD10,C19,16.13
CD10,C20,21.0
CD10,C21,26.59
CD10,C22,6.11
CD11,CD1,12.61
CD11,CD2,22.1
CD11,CD3,19.6
CD11,CD4,9.03
CD11,CD5,12.18
CD11,CD6,5.19
CD11,CD7,8.5
CD11,CD8,3.26
CD11,CD9,11.14
CD11,CD10,19.79
CD11,CD11,999.0
CD11,CD12,13.84
CD11,C1,8.48
CD11,C2,17.9
CD11,C3,11.02
CD11,C4,15.48
CD11,C5,25.7
CD11,C6,21.03
CD11,C7,9.41
CD11,C8,23.11
CD11,C9,10.1
CD11,C10,9.51
CD11,C11,7.76
CD11,C12,11.82
CD11,C13,9.67
CD11,C14,10.23
CD11,C15,11.33
CD11,C16,11.88
CD11,C17,11.42
CD11,C18,10.84
CD11,C19,13.36
CD11,C20,11.63
CD11,C21,8.57
CD11,C22,12.5
CD12,CD1,25.35
CD12,CD2,6.76
CD12,CD3,27.66
CD12,CD4,21.77
CD12,CD5,5.65
CD12,CD6,10.97
CD12,CD7,7.97
CD12,CD8,16.0
CD12,CD9,23.88
CD12,CD10,5.3
CD12,CD11,13.3
CD12,CD12,999.0
CD12,C1,16.02
CD12,C2,25.97
CD12,C3,7.48
CD12,C4,23.54
CD12,C5,33.77
CD12,C6,29.09
CD12,C7,22.16
CD12,C8,9.48
CD12,C9,22.84
CD12,C10,12.98
CD12,C11,15.82
CD12,C12,15.42
CD12,C13,11.81
CD12,C14,14.24
CD12,C15,5.61
CD12,C16,6.19
CD12,C17,10.81
CD12,C18,3.19
CD12,C19,11.35
CD12,C20,16.83
CD12,C21,21.32
CD12,C22,1.61
C1,CD1,18.86
C1,CD2,23.15
C1,CD3,25.84
C1,CD4,15.28
C1,CD5,10.46
C1,CD6,5.94
C1,CD7,10.44
C1,CD8,7.9
C1,CD9,17.39
C1,CD10,20.84
C1,CD11,8.64
C1,CD12,14.98
C1,C1,999.0
C1,C2,24.15
C1,C3,9.31
C1,C4,21.72
C1,C5,31.95
C1,C6,27.27
C1,C7,15.66
C1,C8,20.84
C1,C9,11.74
C1,C10,15.76
C1,C11,1.38
C1,C12,18.07
C1,C13,7.56
C1,C14,16.48
C1,C15,12.45
C1,C16,10.17
C1,C17,8.42
C1,C18,11.98
C1,C19,11.25
C1,C20,17.88
C1,C21,11.71
C1,C22,13.64
C2,CD1,10.15
C2,CD2,31.95
C2,CD3,9.28
C2,CD4,9.96
C2,CD5,27.73
C2,CD6,23.95
C2,CD7,20.05
C2,CD8,20.62
C2,CD9,13.87
C2,CD10,29.63
C2,CD11,20.53
C2,CD12,25.25
C2,C1,25.95
C2,C2,999.0
C2,C3,26.58
C2,C4,4.07
C2,C5,15.38
C2,C6,10.7
C2,C7,8.97
C2,C8,34.72
C2,C9,16.49
C2,C10,14.73
C2,C11,25.23
C2,C12,11.72
C2,C13,27.75
C2,C14,15.45
C2,C15,21.12
C2,C16,27.44
C2,C17,26.97
C2,C18,25.06
C2,C19,31.44
C2,C20,9.9
C2,C21,19.57
C2,C22,25.16
C3,CD1,20.29
C3,CD2,16.65
C3,CD3,27.28
C3,CD4,16.71
C3,CD5,2.29
C3,CD6,5.91
C3,CD7,8.19
C3,CD8,10.94
C3,CD9,18.83
C3,CD10,11.5
C3,CD11,10.6
C3,CD12,6.82
C3,C1,10.97
C3,C2,25.58
C3,C3,999.0
C3,C4,23.16
C3,C5,33.39
C3,C6,28.71
C3,C7,17.1
C3,C8,12.66
C3,C9,17.78
C3,C10,16.19
C3,C11,10.76
C3,C12,18.5
C3,C13,6.75
C3,C14,16.91
C3,C15,9.37
C3,C16,1.99
C3,C17,5.75
C3,C18,4.29
C3,C19,5.54
C3,C20,17.2
C3,C21,16.26
C3,C22,6.2
C4,CD1,8.68
C4,CD2,30.0
C4,CD3,7.85
C4,CD4,6.2
C4,CD5,21.9
C4,CD6,17.99
C4,CD7,18.1
C4,CD8,14.66
C4,CD9,9.14
C4,CD10,27.69
C4,CD11,14.58
C4,CD12,23.3
C4,C1,20.0
C4,C2,3.72
C4,C3,20.75
C4,C4,999.0
C4,C5,13.96
C4,C6,9.28
C4,C7,5.21
C4,C8,32.78
C4,C9,10.53
C4,C10,10.97
C4,C11,19.27
C4,C12,12.43
C4,C13,21.79
C4,C14,11.69
C4,C15,19.18
C4,C16,21.6
C4,C17,24.21
C4,C18,23.11
C4,C19,25.48
C4,C20,7.11
C4,C21,13.62
C4,C22,23.22
C5,CD1,14.15
C5,CD2,39.13
C5,CD3,8.06
C5,CD4,16.01
C5,CD5,32.35
C5,CD6,28.44
C5,CD7,27.23
C5,CD8,25.11
C5,CD9,14.58
C5,CD10,36.82
C5,CD11,25.03
C5,CD12,32.43
C5,C1,30.44
C5,C2,15.26
C5,C3,31.19
C5,C4,14.04
C5,C5,999.0
C5,C6,7.29
C5,C7,15.02
C5,C8,41.91
C5,C9,15.67
C5,C10,20.1
C5,C11,29.72
C5,C12,21.55
C5,C13,32.24
C5,C14,20.82
C5,C15,28.31
C5,C16,32.05
C5,C17,34.66
C5,C18,32.24
C5,C19,35.93
C5,C20,19.16
C5,C21,24.07
C5,C22,32.35
C6,CD1,8.05
C6,CD2,33.03
C6,CD3,7.81
C6,CD4,9.91
C6,CD5,26.25
C6,CD6,22.34
C6,CD7,21.13
C6,CD8,19.01
C6,CD9,11.78
C6,CD10,30.72
C6,CD11,18.92
C6,CD12,26.33
C6,C1,24.34
C6,C2,9.16
C6,C3,25.09
C6,C4,7.94
C6,C5,13.92
C6,C6,999.0
C6,C7,8.92
C6,C8,35.81
C6,C9,14.88
C6,C10,14.0
C6,C11,23.62
C6,C12,15.45
C6,C13,26.14
C6,C14,14.72
C6,C15,22.21
C6,C16,25.95
C6,C17,28.56
C6,C18,26.14
C6,C19,29.83
C6,C20,13.06
C6,C21,17.96
C6,C22,26.25
C7,CD1,5.84
C7,CD2,29.77
C7,CD3,10.19
C7,CD4,1.95
C7,CD5,17.72
C7,CD6,13.81
C7,CD7,17.87
C7,CD8,10.49
C7,CD9,7.4
C7,CD10,27.46
C7,CD11,10.4
C7,CD12,23.07
C7,C1,15.82
C7,C2,8.49
C7,C3,16.57
C7,C4,6.07
C7,C5,16.29
C7,C6,11.62
C7,C7,999.0
C7,C8,28.09
C7,C9,6.36
C7,C10,8.13
C7,C11,15.09
C7,C12,9.59
C7,C13,17.62
C7,C14,8.86
C7,C15,18.95
C7,C16,17.43
C7,C17,20.04
C7,C18,20.41
C7,C19,21.31
C7,C20,7.19
C7,C21,9.44
C7,C22,22.99
C8,CD1,31.3
C8,CD2,12.07
C8,CD3,38.29
C8,CD4,27.72
C8,CD5,11.6
C8,CD6,16.92
C8,CD7,18.12
C8,CD8,21.95
C8,CD9,29.84
C8,CD10,10.38
C8,CD11,20.13
C8,CD12,9.2
C8,C1,21.98
C8,C2,36.59
C8,C3,13.44
C8,C4,34.17
C8,C5,44.4
C8,C6,39.72
C8,C7,28.11
C8,C8,999.0
C8,C9,28.79
C8,C10,22.01
C8,C11,21.77
C8,C12,28.03
C8,C13,16.52
C8,C14,23.27
C8,C15,14.65
C8,C16,12.14
C8,C17,16.76
C8,C18,10.72
C8,C19,13.77
C8,C20,26.72
C8,C21,27.27
C8,C22,9.45
C9,CD1,5.28
C9,CD2,28.62
C9,CD3,16.51
C9,CD4,5.86
C9,CD5,18.42
C9,CD6,14.86
C9,CD7,16.72
C9,CD8,7.96
C9,CD9,1.79
C9,CD10,26.31
C9,CD11,10.08
C9,CD12,21.92
C9,C1,11.41
C9,C2,14.82
C9,C3,18.94
C9,C4,12.39
C9,C5,15.59
C9,C6,17.94
C9,C7,6.28
C9,C8,31.54
C9,C9,999.0
C9,C10,10.76
C9,C11,10.69
C9,C12,13.07
C9,C13,13.7
C9,C14,11.48
C9,C15,17.8
C9,C16,19.8
C9,C17,19.34
C9,C18,19.26
C9,C19,17.39
C9,C20,9.66
C9,C21,3.38
C9,C22,21.84
C10,CD1,13.15
C10,CD2,21.35
C10,CD3,15.36
C10,CD4,9.57
C10,CD5,17.14
C10,CD6,10.4
C10,CD7,9.46
C10,CD8,8.3
C10,CD9,11.68
C10,CD10,19.04
C10,CD11,8.19
C10,CD12,14.66
C10,C1,15.36
C10,C2,13.66
C10,C3,15.99
C10,C4,11.24
C10,C5,21.46
C10,C6,16.79
C10,C7,9.95
C10,C8,24.13
C10,C9,10.64
C10,C10,999.0
C10,C11,14.63
C10,C12,3.39
C10,C13,17.38
C10,C14,1.26
C10,C15,10.53
C10,C16,16.84
C10,C17,16.38
C10,C18,14.47
C10,C19,21.6
C10,C20,4.53
C10,C21,8.98
C10,C22,14.57
C11,CD1,18.62
C11,CD2,24.14
C11,CD3,25.61
C11,CD4,15.04
C11,CD5,11.45
C11,CD6,6.92
C11,CD7,11.43
C11,CD8,7.66
C11,CD9,17.15
C11,CD10,21.82
C11,CD11,8.4
C11,CD12,15.96
C11,C1,1.04
C11,C2,23.91
C11,C3,10.29
C11,C4,21.49
C11,C5,31.71
C11,C6,27.04
C11,C7,15.43
C11,C8,21.82
C11,C9,11.5
C11,C10,15.52
C11,C11,999.0
C11,C12,17.83
C11,C13,8.54
C11,C14,16.24
C11,C15,13.43
C11,C16,11.15
C11,C17,9.41
C11,C18,12.96
C11,C19,12.23
C11,C20,17.64
C11,C21,11.47
C11,C22,14.62
C12,CD1,16.95
C12,CD2,19.39
C12,CD3,16.13
C12,CD4,9.77
C12,CD5,18.35
C12,CD6,14.84
C12,CD7,10.67
C12,CD8,12.4
C12,CD9,14.26
C12,CD10,17.08
C12,CD11,11.57
C12,CD12,15.87
C12,C1,17.93
C12,C2,10.3
C12,C3,17.2
C12,C4,12.01
C12,C5,22.23
C12,C6,17.55
C12,C7,10.12
C12,C8,25.34
C12,C9,13.22
C12,C10,3.51
C12,C11,17.21
C12,C12,999.0
C12,C13,18.59
C12,C14,3.12
C12,C15,11.74
C12,C16,18.05
C12,C17,17.59
C12,C18,15.68
C12,C19,22.81
C12,C20,3.48
C12,C21,11.56
C12,C22,15.78
C13,CD1,20.62
C13,CD2,20.86
C13,CD3,27.61
C13,CD4,17.04
C13,CD5,7.89
C13,CD6,6.24
C13,CD7,10.62
C13,CD8,10.1
C13,CD9,19.15
C13,CD10,16.45
C13,CD11,10.71
C13,CD12,13.97
C13,C1,8.45
C13,C2,25.91
C13,C3,5.35
C13,C4,23.49
C13,C5,33.71
C13,C6,29.04
C13,C7,17.42
C13,C8,16.57
C13,C9,18.11
C13,C10,18.1
C13,C11,7.93
C13,C12,20.41
C13,C13,999.0
C13,C14,18.82
C13,C15,11.76
C13,C16,7.6
C13,C17,3.33
C13,C18,10.97
C13,C19,4.21
C13,C20,19.11
C13,C21,16.58
C13,C22,11.35
C14,CD1,13.99
C14,CD2,18.33
C14,CD3,15.66
C14,CD4,10.41
C14,CD5,16.8
C14,CD6,11.74
C14,CD7,9.11
C14,CD8,11.69
C14,CD9,12.53
C14,CD10,16.02
C14,CD11,9.53
C14,CD12,14.31
C14,C1,16.2
C14,C2,13.96
C14,C3,15.64
C14,C4,11.53
C14,C5,21.76
C14,C6,17.08
C14,C7,10.8
C14,C8,23.79
C14,C9,11.48
C14,C10,1.6
C14,C11,15.47
C14,C12,3.34
C14,C13,17.03
C14,C14,999.0
C14,C15,10.19
C14,C16,16.5
C14,C17,16.04
C14,C18,14.12
C14,C19,21.25
C14,C20,4.82
C14,C21,9.82
C14,C22,14.23
C15,CD1,19.65
C15,CD2,13.56
C15,CD3,22.05
C15,CD4,16.07
C15,CD5,10.93
C15,CD6,7.41
C15,CD7,2.91
C15,CD8,12.58
C15,CD9,18.18
C15,CD10,11.25
C15,CD11,8.81
C15,CD12,7.82
C15,C1,12.16
C15,C2,20.35
C15,C3,9.77
C15,C4,17.93
C15,C5,28.16
C15,C6,23.48
C15,C7,16.46
C15,C8,16.51
C15,C9,17.14
C15,C10,7.37
C15,C11,11.96
C15,C12,9.81
C15,C13,11.16
C15,C14,8.63
C15,C15,999.0
C15,C16,10.63
C15,C17,10.17
C15,C18,7.63
C15,C19,15.79
C15,C20,11.22
C15,C21,15.48
C15,C22,7.74
C16,CD1,20.08
C16,CD2,15.25
C16,CD3,27.07
C16,CD4,16.5
C16,CD5,1.15
C16,CD6,5.7
C16,CD7,7.98
C16,CD8,10.73
C16,CD9,18.61
C16,CD10,11.4
C16,CD11,10.39
C16,CD12,5.46
C16,C1,10.75
C16,C2,25.37
C16,C3,2.21
C16,C4,22.95
C16,C5,33.17
C16,C6,28.5
C16,C7,16.88
C16,C8,11.26
C16,C9,17.57
C16,C10,15.97
C16,C11,10.55
C16,C12,18.29
C16,C13,6.54
C16,C14,16.7
C16,C15,9.16
C16,C16,999.0
C16,C17,5.54
C16,C18,2.77
C16,C19,5.99
C16,C20,16.98
C16,C21,16.05
C16,C22,4.8
C17,CD1,21.86
C17,CD2,21.17
C17,CD3,28.85
C17,CD4,18.28
C17,CD5,6.8
C17,CD6,7.48
C17,CD7,9.49
C17,CD8,9.13
C17,CD9,20.39
C17,CD10,17.57
C17,CD11,11.9
C17,CD12,12.88
C17,C1,7.48
C17,C2,27.15
C17,C3,4.25
C17,C4,24.73
C17,C5,34.95
C17,C6,30.28
C17,C7,18.67
C17,C8,17.17
C17,C9,19.35
C17,C10,17.48
C17,C11,6.96
C17,C12,19.8
C17,C13,2.18
C17,C14,18.21
C17,C15,10.67
C17,C16,6.5
C17,C17,999.0
C17,C18,9.88
C17,C19,6.4
C17,C20,18.49
C17,C21,17.83
C17,C22,11.54
C18,CD1,22.31
C18,CD2,9.44
C18,CD3,28.8
C18,CD4,18.73
C18,CD5,2.61
C18,CD6,7.93
C18,CD7,8.25
C18,CD8,12.96
C18,CD9,20.84
C18,CD10,7.99
C18,CD11,10.26
C18,CD12,3.3
C18,C1,12.98
C18,C2,27.1
C18,C3,4.44
C18,C4,24.68
C18,C5,34.91
C18,C6,30.23
C18,C7,19.11
C18,C8,12.77
C18,C9,19.8
C18,C10,15.85
C18,C11,12.78
C18,C12,18.16
C18,C13,8.77
C18,C14,16.57
C18,C15,5.84
C18,C16,3.15
C18,C17,7.77
C18,C18,999.0
C18,C19,8.31
C18,C20,16.86
C18,C21,18.28
C18,C22,2.8
C19,CD1,24.57
C19,CD2,19.58
C19,CD3,31.56
C19,CD4,20.99
C19,CD5,7.24
C19,CD6,10.19
C19,CD7,12.2
C19,CD8,12.95
C19,CD9,23.11
C19,CD10,15.17
C19,CD11,14.61
C19,CD12,11.17
C19,C1,11.3
C19,C2,29.86
C19,C3,6.97
C19,C4,27.44
C19,C5,37.67
C19,C6,32.99
C19,C7,21.38
C19,C8,15.28
C19,C9,22.06
C19,C10,20.2
C19,C11,10.78
C19,C12,22.51
C19,C13,4.45
C19,C14,20.92
C19,C15,13.38
C19,C16,6.61
C19,C17,4.95
C19,C18,8.79
C19,C19,999.0
C19,C20,21.21
C19,C21,20.54
C19,C22,10.05
C20,CD1,10.92
C20,CD2,23.64
C20,CD3,13.91
C20,CD4,6.96
C20,CD5,19.43
C20,CD6,12.42
C20,CD7,11.75
C20,CD8,10.72
C20,CD9,10.68
C20,CD10,21.33
C20,CD11,10.21
C20,CD12,16.94
C20,C1,16.53
C20,C2,12.21
C20,C3,18.28
C20,C4,9.79
C20,C5,20.02
C20,C6,15.34
C20,C7,7.91
C20,C8,26.42
C20,C9,9.64
C20,C10,4.91
C20,C11,15.81
C20,C12,4.32
C20,C13,19.67
C20,C14,4.53
C20,C15,12.82
C20,C16,19.13
C20,C17,18.67
C20,C18,16.76
C20,C19,23.89
C20,C20,999.0
C20,C21,10.15
C20,C22,16.86
C21,CD1,7.28
C21,CD2,27.1
C21,CD3,16.3
C21,CD4,5.64
C21,CD5,16.9
C21,CD6,13.34
C21,CD7,15.2
C21,CD8,6.67
C21,CD9,4.01
C21,CD10,24.79
C21,CD11,8.55
C21,CD12,20.4
C21,C1,10.13
C21,C2,14.6
C21,C3,17.42
C21,C4,12.17
C21,C5,22.4
C21,C6,17.72
C21,C7,6.07
C21,C8,30.02
C21,C9,2.61
C21,C10,9.24
C21,C11,9.41
C21,C12,11.55
C21,C13,12.42
C21,C14,9.96
C21,C15,16.28
C21,C16,18.28
C21,C17,17.82
C21,C18,17.74
C21,C19,16.11
C21,C20,11.36
C21,C21,999.0
C21,C22,20.32
C22,CD1,24.75
C22,CD2,7.49
C22,CD3,30.2
C22,CD4,21.17
C22,CD5,4.2
C22,CD6,10.37
C22,CD7,8.0
C22,CD8,14.98
C22,CD9,23.28
C22,CD10,6.03
C22,CD11,11.65
C22,CD12,1.61
C22,C1,15.42
C22,C2,28.5
C22,C3,6.88
C22,C4,26.08
C22,C5,36.3
C22,C6,31.62
C22,C7,21.55
C22,C8,9.22
C22,C9,22.24
C22,C10,13.01
C22,C11,15.22
C22,C12,15.45
C22,C13,11.2
C22,C14,14.27
C22,C15,5.64
C22,C16,5.58
C22,C17,10.21
C22,C18,2.59
C22,C19,10.75
C22,C20,18.25
C22,C21,19.6
C22,C22,999.0
CD1,C23,22.95
CD1,C24,18.56
CD1,C25,30.88
CD1,C26,15.34
CD1,C27,26.82
CD1,C28,18.98
CD1,C29,7.19
CD1,C30,18.05
CD1,C31,14.0
CD1,C32,14.55
CD1,C33,22.91
CD1,C34,22.15
CD1,C35,20.26
CD1,C36,28.55
CD1,C37,23.88
CD1,C38,14.33
CD1,C39,17.85
CD1,C40,11.83
CD1,C41,12.11
CD1,C42,23.6
CD1,C43,17.14
CD1,C44,12.89
CD1,C45,22.71
CD1,C46,29.53
CD1,C47,9.47
CD1,C48,21.97
CD1,C49,4.75
CD1,C50,16.86
CD1,C51,26.22
CD1,C52,30.06
CD1,C53,29.32
CD1,C54,27.12
CD1,C55,16.97
CD1,C56,22.17
CD2,C23,10.61
CD2,C24,15.14
CD2,C25,4.71
CD2,C26,21.73
CD2,C27,6.38
CD2,C28,16.58
CD2,C29,29.14
CD2,C30,15.9
CD2,C31,39.65
CD2,C32,22.69
CD2,C33,20.83
CD2,C34,12.24
CD2,C35,13.69
CD2,C36,11.7
CD2,C37,9.33
CD2,C38,22.15
CD2,C39,16.47
CD2,C40,24.87
CD2,C41,23.61
CD2,C42,20.26
CD2,C43,17.29
CD2,C44,24.13
CD2,C45,13.72
CD2,C46,15.25
CD2,C47,30.58
CD2,C48,14.6
CD2,C49,35.02
CD2,C50,18.5
CD2,C51,15.03
CD2,C52,6.49
CD2,C53,4.47
CD2,C54,6.49
CD2,C55,19.77
CD2,C56,12.43
CD3,C23,28.83
CD3,C24,24.44
CD3,C25,36.76
CD3,C26,29.41
CD3,C27,32.7
CD3,C28,30.13
CD3,C29,20.61
CD3,C30,29.19
CD3,C31,5.57
CD3,C32,28.62
CD3,C33,36.49
CD3,C34,28.03
CD3,C35,24.97
CD3,C36,37.24
CD3,C37,29.76
CD3,C38,25.47
CD3,C39,29.0
CD3,C40,22.98
CD3,C41,19.27
CD3,C42,37.18
CD3,C43,23.02
CD3,C44,24.72
CD3,C45,33.86
CD3,C46,38.23
CD3,C47,10.29
CD3,C48,33.11
CD3,C49,18.47
CD3,C50,22.74
CD3,C51,34.92
CD3,C52,35.94
CD3,C53,35.2
CD3,C54,33.0
CD3,C55,28.12
CD3,C56,29.76
CD4,C23,19.38
CD4,C24,14.99
CD4,C25,27.31
CD4,C26,14.69
CD4,C27,23.25
CD4,C28,15.41
CD4,C29,5.9
CD4,C30,14.48
CD4,C31,16.19
CD4,C32,13.91
CD4,C33,21.78
CD4,C34,18.58
CD4,C35,16.69
CD4,C36,24.98
CD4,C37,20.31
CD4,C38,10.76
CD4,C39,14.28
CD4,C40,8.26
CD4,C41,7.82
CD4,C42,22.46
CD4,C43,13.57
CD4,C44,10.0
CD4,C45,19.14
CD4,C46,25.96
CD4,C47,7.12
CD4,C48,18.4
CD4,C49,7.75
CD4,C50,13.29
CD4,C51,22.65
CD4,C52,26.49
CD4,C53,25.75
CD4,C54,23.55
CD4,C55,13.4
CD4,C56,18.6
CD5,C23,10.49
CD5,C24,10.82
CD5,C25,12.38
CD5,C26,8.82
CD5,C27,8.31
CD5,C28,3.67
CD5,C29,16.23
CD5,C30,7.94
CD5,C31,33.2
