,Cost
"('CD2', 'C24')",45905.994
"('CD2', 'C25')",14281.191
"('CD2', 'C26')",65887.533
"('CD2', 'C27')",19344.798
"('CD2', 'C28')",50272.218
"('CD2', 'C29')",88355.394
"('CD2', 'C30')",48210.39
"('CD2', 'C31')",120222.765
"('CD2', 'C32')",68798.349
"('CD2', 'C33')",63158.643
"('CD2', 'C34')",37112.904
"('CD2', 'C35')",41509.449
"('CD2', 'C36')",35475.57
"('CD2', 'C37')",28289.493
"('CD2', 'C38')",67161.015
"('CD3', 'CD1')",42146.19
"('CD3', 'CD2')",117888.048
"('CD3', 'CD3')",9999999.0
"('CD3', 'CD4')",47785.896
"('CD3', 'CD5')",97300.089
"('CD3', 'CD6')",85444.578
"('CD3', 'CD7')",81806.058
"('CD3', 'CD8')",75378.006
"('CD3', 'CD9')",53455.923
"('CD3', 'CD10')",110883.897
"('CD3', 'CD11')",75105.117
"('CD3', 'CD12')",97572.978
"('CD3', 'C1')",91539.099
"('CD3', 'C2')",31897.692
"('CD3', 'C3')",93813.174
"('CD3', 'C4')",41812.659
"('CD3', 'C5')",18495.81
"('CD3', 'C6')",21345.984
"('CD3', 'C7')",44784.117
"('CD3', 'C8')",126286.965
"('CD3', 'C9')",62855.433
"('CD3', 'C10')",60156.864
"('CD3', 'C11')",89355.987
"('CD3', 'C12')",64583.73
"('CD3', 'C13')",96996.879
"('CD3', 'C14')",62370.297
"('CD3', 'C15')",85050.405
"('CD3', 'C16')",96420.78
"('CD3', 'C17')",104334.561
"('CD3', 'C18')",96996.879
"('CD3', 'C19')",108185.328
"('CD3', 'C20')",57306.69
"('CD3', 'C21')",72194.301
"('CD3', 'C22')",97300.089
"('CD3', 'C23')",87415.443
"('CD3', 'C24')",74104.524
"('CD3', 'C25')",111459.996
"('CD3', 'C26')",89174.061
"('CD3', 'C27')",99149.67
"('CD3', 'C28')",91357.173
"('CD3', 'C29')",62491.581
"('CD3', 'C30')",88506.999
"('CD3', 'C31')",16888.797
"('CD3', 'C32')",86778.702
"('CD3', 'C33')",110641.329
"('CD3', 'C34')",84989.763
"('CD3', 'C35')",75711.537
"('CD3', 'C36')",112915.404
"('CD3', 'C37')",90235.296
"('CD3', 'C38')",77227.587
"('CD4', 'CD1')",16676.55
"('CD4', 'CD2')",89204.382
"('CD4', 'CD3')",32170.581
"('CD4', 'CD4')",9999999.0
"('CD4', 'CD5')",52697.898
"('CD4', 'CD6')",40842.387
"('CD4', 'CD7')",53152.713
"('CD4', 'CD8')",30745.494
"('CD4', 'CD9')",21376.305
"('CD4', 'CD10')",82200.231
"('CD4', 'CD11')",30502.926
"('CD4', 'CD12')",68889.312
"('CD4', 'C1')",46906.587
"('CD4', 'C2')",27046.332
"('CD4', 'C3')",49180.662
"('CD4', 'C4')",19678.329
"('CD4', 'C5')",50696.712
"('CD4', 'C6')",36506.484
"('CD4', 'C7')",1273.482
"('CD4', 'C8')",84140.775
"('CD4', 'C9')",18222.921
"('CD4', 'C10')",35051.076
"('CD4', 'C11')",44723.475
"('CD4', 'C12')",42055.227
"('CD4', 'C13')",52364.367
"('CD4', 'C14')",37264.509
"('CD4', 'C15')",56397.06
"('CD4', 'C16')",51788.268
"('CD4', 'C17')",59702.049
"('CD4', 'C18')",60854.247
"('CD4', 'C19')",63552.816
"('CD4', 'C20')",22589.145
"('CD4', 'C21')",27592.11
"('CD4', 'C22')",68646.744
"('CD4', 'C23')",58762.098
"('CD4', 'C24')",45451.179
"('CD4', 'C25')",82806.651
"('CD4', 'C26')",44541.549
"('CD4', 'C27')",70496.325
"('CD4', 'C28')",46724.661
"('CD4', 'C29')",17889.39
"('CD4', 'C30')",43904.808
"('CD4', 'C31')",49089.699
"('CD4', 'C32')",42176.511
"('CD4', 'C33')",66039.138
"('CD4', 'C34')",56336.418
"('CD4', 'C35')",50605.749
"('CD4', 'C36')",75741.858
"('CD4', 'C37')",61581.951
"('CD4', 'C38')",32625.396
"('CD5', 'CD1')",62552.223
"('CD5', 'CD2')",45663.426
"('CD5', 'CD3')",83746.602
"('CD5', 'CD4')",51727.626
"('CD5', 'CD5')",9999999.0
"('CD5', 'CD6')",18980.946
"('CD5', 'CD7')",25863.813
"('CD5', 'CD8')",34202.088
"('CD5', 'CD9')",58125.357
"('CD5', 'CD10')",28986.876
"('CD5', 'CD11')",33171.174
"('CD5', 'CD12')",14766.327
"('CD5', 'C1')",34293.051
"('CD5', 'C2')",78622.353
"('CD5', 'C3')",8398.917
"('CD5', 'C4')",71254.35
"('CD5', 'C5')",102272.733
"('CD5', 'C6')",88082.505
"('CD5', 'C7')",52879.824
"('CD5', 'C8')",33565.347
"('CD5', 'C9')",54941.652
"('CD5', 'C10')",50120.613
"('CD5', 'C11')",33656.31
"('CD5', 'C12')",57124.764
"('CD5', 'C13')",21497.589
"('CD5', 'C14')",52303.725
"('CD5', 'C15')",29441.691
"('CD5', 'C16')",4457.187
"('CD5', 'C17')",18465.489
"('CD5', 'C18')",7307.361
"('CD5', 'C19')",27258.579
"('CD5', 'C20')",53183.034
"('CD5', 'C21')",50332.86
"('CD5', 'C22')",10733.634
"('CD5', 'C23')",31806.729
"('CD5', 'C24')",32807.322
"('CD5', 'C25')",37537.398
"('CD5', 'C26')",26743.122
"('CD5', 'C27')",25196.751
"('CD5', 'C28')",11127.807
"('CD5', 'C29')",49210.983
"('CD5', 'C30')",24074.874
"('CD5', 'C31')",100665.72
"('CD5', 'C32')",29653.938
"('CD5', 'C33')",36779.373
"('CD5', 'C34')",32746.68
"('CD5', 'C35')",36718.731
"('CD5', 'C36')",18465.489
"('CD5', 'C37')",18131.958
"('CD5', 'C38')",28046.925
"('CD6', 'CD1')",44662.833
"('CD6', 'CD2')",56578.986
"('CD6', 'CD3')",65857.212
"('CD6', 'CD4')",33807.915
"('CD6', 'CD5')",20557.638
"('CD6', 'CD6')",9999999.0
"('CD6', 'CD7')",18071.316
"('CD6', 'CD8')",16312.698
"('CD6', 'CD9')",40205.646
"('CD6', 'CD10')",49574.835
"('CD6', 'CD11')",13614.129
"('CD6', 'CD12')",31837.05
"('CD6', 'C1')",18586.773
"('CD6', 'C2')",60702.642
"('CD6', 'C3')",17070.723
"('CD6', 'C4')",53364.96
"('CD6', 'C5')",84353.022
"('CD6', 'C6')",70162.794
"('CD6', 'C7')",34960.113
"('CD6', 'C8')",52030.836
"('CD6', 'C9')",37052.262
"('CD6', 'C10')",35263.323
"('CD6', 'C11')",17980.353
"('CD6', 'C12')",42267.474
"('CD6', 'C13')",20254.428
"('CD6', 'C14')",37446.435
"('CD6', 'C15')",24135.516
"('CD6', 'C16')",19678.329
"('CD6', 'C17')",19041.588
"('CD6', 'C18')",22740.75
"('CD6', 'C19')",31442.877
"('CD6', 'C20')",41691.375
"('CD6', 'C21')",32413.149
"('CD6', 'C22')",27774.036
"('CD6', 'C23')",24863.22
"('CD6', 'C24')",24984.504
"('CD6', 'C25')",50181.255
"('CD6', 'C26')",11067.165
"('CD6', 'C27')",37870.929
"('CD6', 'C28')",11521.98
"('CD6', 'C29')",31291.272
"('CD6', 'C30')",8702.127
"('CD6', 'C31')",82746.009
"('CD6', 'C32')",13947.66
"('CD6', 'C33')",33929.199
"('CD6', 'C34')",22225.293
"('CD6', 'C35')",28895.913
"('CD6', 'C36')",37628.361
"('CD6', 'C37')",28986.876
"('CD6', 'C38')",10096.893
"('CD7', 'CD1')",59550.444
"('CD7', 'CD2')",41903.622
"('CD7', 'CD3')",68646.744
"('CD7', 'CD4')",48695.526
"('CD7', 'CD5')",28441.098
"('CD7', 'CD6')",17768.106
"('CD7', 'CD7')",9999999.0
"('CD7', 'CD8')",32746.68
"('CD7', 'CD9')",55123.578
"('CD7', 'CD10')",34899.471
"('CD7', 'CD11')",21315.663
"('CD7', 'CD12')",21861.441
"('CD7', 'C1')",32170.581
"('CD7', 'C2')",63492.174
"('CD7', 'C3')",24923.862
"('CD7', 'C4')",56154.492
"('CD7', 'C5')",87172.875
"('CD7', 'C6')",72982.647
"('CD7', 'C7')",49878.045
"('CD7', 'C8')",50605.749
"('CD7', 'C9')",51939.873
"('CD7', 'C10')",24135.516
"('CD7', 'C11')",31564.161
"('CD7', 'C12')",31533.84
"('CD7', 'C13')",29138.481
"('CD7', 'C14')",27955.962
"('CD7', 'C15')",9399.51
"('CD7', 'C16')",27531.468
"('CD7', 'C17')",26136.702
"('CD7', 'C18')",21315.663
"('CD7', 'C19')",41933.943
"('CD7', 'C20')",35809.101
"('CD7', 'C21')",49392.909
"('CD7', 'C22')",21618.873
"('CD7', 'C23')",10187.856
"('CD7', 'C24')",12765.141
"('CD7', 'C25')",35505.891
"('CD7', 'C26')",24650.973
"('CD7', 'C27')",23165.244
"('CD7', 'C28')",19587.366
"('CD7', 'C29')",48240.711
"('CD7', 'C30')",10157.535
"('CD7', 'C31')",85535.541
"('CD7', 'C32')",27561.789
"('CD7', 'C33')",44420.265
"('CD7', 'C34')",7519.608
"('CD7', 'C35')",16676.55
"('CD7', 'C36')",37234.188
"('CD7', 'C37')",14311.512
"('CD7', 'C38')",26470.233
"('CD8', 'CD1')",42176.511
"('CD8', 'CD2')",70738.893
"('CD8', 'CD3')",63370.89
"('CD8', 'CD4')",31321.593
"('CD8', 'CD5')",33383.421
"('CD8', 'CD6')",21527.91
"('CD8', 'CD7')",29502.333
"('CD8', 'CD8')",9999999.0
"('CD8', 'CD9')",37749.645
"('CD8', 'CD10')",63734.742
"('CD8', 'CD11')",11188.449
"('CD8', 'CD12')",47755.575
"('CD8', 'C1')",23862.627
"('CD8', 'C2')",58216.32
"('CD8', 'C3')",29896.506
"('CD8', 'C4')",50878.638
"('CD8', 'C5')",81897.021
"('CD8', 'C6')",67706.793
"('CD8', 'C7')",32504.112
"('CD8', 'C8')",64856.619
"('CD8', 'C9')",34565.94
"('CD8', 'C10')",32777.001
"('CD8', 'C11')",21679.515
"('CD8', 'C12')",39811.473
"('CD8', 'C13')",30806.136
"('CD8', 'C14')",34990.434
"('CD8', 'C15')",38083.176
"('CD8', 'C16')",32504.112
"('CD8', 'C17')",40417.893
"('CD8', 'C18')",38659.275
"('CD8', 'C19')",41994.585
"('CD8', 'C20')",39205.053
"('CD8', 'C21')",29957.148
"('CD8', 'C22')",43692.561
"('CD8', 'C23')",39023.127
"('CD8', 'C24')",27106.974
"('CD8', 'C25')",64341.162
"('CD8', 'C26')",21497.589
"('CD8', 'C27')",52030.836
"('CD8', 'C28')",27440.505
"('CD8', 'C29')",28835.271
"('CD8', 'C30')",24590.331
"('CD8', 'C31')",80290.008
"('CD8', 'C32')",19102.23
"('CD8', 'C33')",44480.907
"('CD8', 'C34')",36385.2
"('CD8', 'C35')",34141.446
"('CD8', 'C36')",53546.886
"('CD8', 'C37')",43146.783
"('CD8', 'C38')",13310.919
"('CD9', 'CD1')",12067.758
"('CD9', 'CD2')",91690.704
"('CD9', 'CD3')",53819.775
"('CD9', 'CD4')",21527.91
"('CD9', 'CD5')",60763.284
"('CD9', 'CD6')",49938.687
"('CD9', 'CD7')",55608.714
"('CD9', 'CD8')",29017.197
"('CD9', 'CD9')",9999999.0
"('CD9', 'CD10')",84686.553
"('CD9', 'CD11')",35445.249
"('CD9', 'CD12')",71375.634
"('CD9', 'C1')",39508.263
"('CD9', 'C2')",48665.205
"('CD9', 'C3')",62339.976
"('CD9', 'C4')",41327.523
"('CD9', 'C5')",43328.709
"('CD9', 'C6')",58155.678
"('CD9', 'C7')",22801.392
"('CD9', 'C8')",100544.436
"('CD9', 'C9')",5397.138
"('CD9', 'C10')",37537.398
"('CD9', 'C11')",37325.151
"('CD9', 'C12')",44541.549
"('CD9', 'C13')",46451.772
"('CD9', 'C14')",39720.51
"('CD9', 'C15')",58883.382
"('CD9', 'C16')",64947.582
"('CD9', 'C17')",63552.816
"('CD9', 'C18')",63310.248
"('CD9', 'C19')",57640.221
"('CD9', 'C20')",33019.569
"('CD9', 'C21')",15160.5
"('CD9', 'C22')",71133.066
"('CD9', 'C23')",61248.42
"('CD9', 'C24')",47937.501
"('CD9', 'C25')",85262.652
"('CD9', 'C26')",37143.225
"('CD9', 'C27')",72952.326
"('CD9', 'C28')",55153.899
"('CD9', 'C29')",12431.61
"('CD9', 'C30')",52334.046
"('CD9', 'C31')",45845.352
"('CD9', 'C32')",34747.866
"('CD9', 'C33')",60126.543
"('CD9', 'C34')",58792.419
"('CD9', 'C35')",53092.071
"('CD9', 'C36')",78197.859
"('CD9', 'C37')",64037.952
"('CD9', 'C38')",32716.359
"('CD10', 'CD1')",93267.396
"('CD10', 'CD2')",7549.929
"('CD10', 'CD3')",96542.064
"('CD10', 'CD4')",82412.478
"('CD10', 'CD5')",31624.803
"('CD10', 'CD6')",49029.057
"('CD10', 'CD7')",36081.99
"('CD10', 'CD8')",66312.027
"('CD10', 'CD9')",88840.53
"('CD10', 'CD10')",9999999.0
"('CD10', 'CD11')",54881.01
"('CD10', 'CD12')",15645.636
"('CD10', 'C1')",63431.532
"('CD10', 'C2')",91387.494
"('CD10', 'C3')",37173.546
"('CD10', 'C4')",84049.812
"('CD10', 'C5')",115037.874
"('CD10', 'C6')",100877.967
"('CD10', 'C7')",83594.997
"('CD10', 'C8')",41691.375
"('CD10', 'C9')",85656.825
"('CD10', 'C10')",52000.515
"('CD10', 'C11')",62825.112
"('CD10', 'C12')",50272.218
"('CD10', 'C13')",50272.218
"('CD10', 'C14')",46633.698
"('CD10', 'C15')",29957.148
"('CD10', 'C16')",33231.816
"('CD10', 'C17')",47270.439
"('CD10', 'C18')",24165.837
"('CD10', 'C19')",48907.773
"('CD10', 'C20')",63674.1
"('CD10', 'C21')",80623.539
"('CD10', 'C22')",18526.131
"('CD10', 'C23')",25408.998
"('CD10', 'C24')",39114.09
"('CD10', 'C25')",8884.053
"('CD10', 'C26')",55911.924
"('CD10', 'C27')",12552.894
"('CD10', 'C28')",39932.757
"('CD10', 'C29')",79501.662
"('CD10', 'C30')",41418.486
"('CD10', 'C31')",113430.861
"('CD10', 'C32')",58792.419
"('CD10', 'C33')",53759.133
"('CD10', 'C34')",30321.0
"('CD10', 'C35')",34717.545
"('CD10', 'C36')",23741.343
"('CD10', 'C37')",21497.589
"('CD10', 'C38')",57731.184
"('CD11', 'CD1')",38234.781
"('CD11', 'CD2')",67009.41
"('CD11', 'CD3')",59429.16
"('CD11', 'CD4')",27379.863
"('CD11', 'CD5')",36930.978
"('CD11', 'CD6')",15736.599
"('CD11', 'CD7')",25772.85
"('CD11', 'CD8')",9884.646
"('CD11', 'CD9')",33777.594
"('CD11', 'CD10')",60005.259
"('CD11', 'CD11')",9999999.0
"('CD11', 'CD12')",41964.264
"('CD11', 'C1')",25712.208
"('CD11', 'C2')",54274.59
"('CD11', 'C3')",33413.742
"('CD11', 'C4')",46936.908
"('CD11', 'C5')",77924.97
"('CD11', 'C6')",63765.063
"('CD11', 'C7')",28532.061
"('CD11', 'C8')",70071.831
"('CD11', 'C9')",30624.21
"('CD11', 'C10')",28835.271
"('CD11', 'C11')",23529.096
"('CD11', 'C12')",35839.422
"('CD11', 'C13')",29320.407
"('CD11', 'C14')",31018.383
"('CD11', 'C15')",34353.693
"('CD11', 'C16')",36021.348
"('CD11', 'C17')",34626.582
"('CD11', 'C18')",32867.964
"('CD11', 'C19')",40508.856
"('CD11', 'C20')",35263.323
"('CD11', 'C21')",25985.097
"('CD11', 'C22')",37901.25
"('CD11', 'C23')",35293.644
"('CD11', 'C24')",26257.986
"('CD11', 'C25')",60611.679
"('CD11', 'C26')",20982.132
"('CD11', 'C27')",48301.353
"('CD11', 'C28')",21649.194
"('CD11', 'C29')",24863.22
"('CD11', 'C30')",18799.02
"('CD11', 'C31')",76317.957
"('CD11', 'C32')",18586.773
"('CD11', 'C33')",42995.178
"('CD11', 'C34')",32655.717
"('CD11', 'C35')",44389.944
"('CD11', 'C36')",47755.575
"('CD11', 'C37')",39417.3
"('CD11', 'C38')",9581.436
"('CD12', 'CD1')",76863.735
"('CD12', 'CD2')",20496.996
"('CD12', 'CD3')",83867.886
"('CD12', 'CD4')",66008.817
"('CD12', 'CD5')",17131.365
"('CD12', 'CD6')",33262.137
"('CD12', 'CD7')",24165.837
"('CD12', 'CD8')",48513.6
"('CD12', 'CD9')",72406.548
"('CD12', 'CD10')",16070.13
"('CD12', 'CD11')",40326.93
"('CD12', 'CD12')",9999999.0
"('CD12', 'C1')",48574.242
"('CD12', 'C2')",78743.637
"('CD12', 'C3')",22680.108
"('CD12', 'C4')",71375.634
"('CD12', 'C5')",102394.017
"('CD12', 'C6')",88203.789
"('CD12', 'C7')",67191.336
"('CD12', 'C8')",28744.308
"('CD12', 'C9')",69253.164
"('CD12', 'C10')",39356.658
"('CD12', 'C11')",47967.822
"('CD12', 'C12')",46754.982
"('CD12', 'C13')",35809.101
"('CD12', 'C14')",43177.104
"('CD12', 'C15')",17010.081
"('CD12', 'C16')",18768.699
"('CD12', 'C17')",32777.001
"('CD12', 'C18')",9672.399
"('CD12', 'C19')",34414.335
"('CD12', 'C20')",51030.243
"('CD12', 'C21')",64644.372
"('CD12', 'C22')",4881.681
"('CD12', 'C23')",19375.119
"('CD12', 'C24')",26439.912
"('CD12', 'C25')",24074.874
"('CD12', 'C26')",41054.634
"('CD12', 'C27')",12401.289
"('CD12', 'C28')",25439.319
"('CD12', 'C29')",63522.495
"('CD12', 'C30')",28046.925
"('CD12', 'C31')",100787.004
"('CD12', 'C32')",43965.45
"('CD12', 'C33')",39296.016
"('CD12', 'C34')",17434.575
"('CD12', 'C35')",34384.014
"('CD12', 'C36')",16676.55
"('CD12', 'C37')",9399.51
"('CD12', 'C38')",42328.116
"('C1', 'CD1')",57185.406
"('C1', 'CD2')",70193.115
"('C1', 'CD3')",78349.464
"('C1', 'CD4')",46330.488
"('C1', 'CD5')",31715.766
"('C1', 'CD6')",18010.674
"('C1', 'CD7')",31655.124
"('C1', 'CD8')",23953.59
"('C1', 'CD9')",52728.219
"('C1', 'CD10')",63188.964
"('C1', 'CD11')",26197.344
"('C1', 'CD12')",45420.858
"('C1', 'C1')",9999999.0
"('C1', 'C2')",73225.215
"('C1', 'C3')",28228.851
"('C1', 'C4')",65857.212
"('C1', 'C5')",96875.595
"('C1', 'C6')",82685.367
"('C1', 'C7')",47482.686
"('C1', 'C8')",63188.964
"('C1', 'C9')",35596.854
"('C1', 'C10')",47785.896
"('C1', 'C11')",4184.298
"('C1', 'C12')",54790.047
"('C1', 'C13')",22922.676
"('C1', 'C14')",49969.008
"('C1', 'C15')",37749.645
"('C1', 'C16')",30836.457
"('C1', 'C17')",25530.282
"('C1', 'C18')",36324.558
"('C1', 'C19')",34111.125
"('C1', 'C20')",54213.948
"('C1', 'C21')",35505.891
"('C1', 'C22')",41357.844
"('C1', 'C23')",38477.349
"('C1', 'C24')",38598.633
"('C1', 'C25')",63795.384
"('C1', 'C26')",6246.126
"('C1', 'C27')",51485.058
"('C1', 'C28')",25105.788
"('C1', 'C29')",31503.519
"('C1', 'C30')",22285.935
"('C1', 'C31')",95268.582
"('C1', 'C32')",6913.188
"('C1', 'C33')",36597.447
"('C1', 'C34')",35839.422
"('C1', 'C35')",42510.042
"('C1', 'C36')",48058.785
"('C1', 'C37')",42601.005
"('C1', 'C38')",16464.303
"('C2', 'CD1')",30775.815
"('C2', 'CD2')",96875.595
"('C2', 'CD3')",28137.888
"('C2', 'CD4')",30199.716
"('C2', 'CD5')",84080.133
"('C2', 'CD6')",72618.795
"('C2', 'CD7')",60793.605
"('C2', 'CD8')",62521.902
"('C2', 'CD9')",42055.227
"('C2', 'CD10')",89841.123
"('C2', 'CD11')",62249.013
"('C2', 'CD12')",76560.525
"('C2', 'C1')",78682.995
"('C2', 'C2')",9999999.0
"('C2', 'C3')",80593.218
"('C2', 'C4')",12340.647
"('C2', 'C5')",46633.698
"('C2', 'C6')",32443.47
"('C2', 'C7')",27197.937
"('C2', 'C8')",105274.512
"('C2', 'C9')",49999.329
"('C2', 'C10')",44662.833
"('C2', 'C11')",76499.883
"('C2', 'C12')",35536.212
"('C2', 'C13')",84140.775
"('C2', 'C14')",46845.945
"('C2', 'C15')",64037.952
"('C2', 'C16')",83200.824
"('C2', 'C17')",81775.737
"('C2', 'C18')",75984.426
"('C2', 'C19')",95329.224
"('C2', 'C20')",30017.79
"('C2', 'C21')",59338.197
"('C2', 'C22')",76287.636
"('C2', 'C23')",66402.99
"('C2', 'C24')",53092.071
"('C2', 'C25')",90447.543
"('C2', 'C26')",76317.957
"('C2', 'C27')",78137.217
"('C2', 'C28')",75226.401
"('C2', 'C29')",49635.477
"('C2', 'C30')",65826.891
"('C2', 'C31')",45026.685
"('C2', 'C32')",73922.598
"('C2', 'C33')",97815.546
"('C2', 'C34')",63977.31
"('C2', 'C35')",53516.565
"('C2', 'C36')",91902.951
"('C2', 'C37')",69222.843
"('C2', 'C38')",64371.483
"('C3', 'CD1')",61521.309
"('C3', 'CD2')",50484.465
"('C3', 'CD3')",82715.688
"('C3', 'CD4')",50666.391
"('C3', 'CD5')",6943.509
"('C3', 'CD6')",17919.711
"('C3', 'CD7')",24832.899
"('C3', 'CD8')",33171.174
"('C3', 'CD9')",57094.443
"('C3', 'CD10')",34869.15
"('C3', 'CD11')",32140.26
"('C3', 'CD12')",20678.922
"('C3', 'C1')",33262.137
"('C3', 'C2')",77561.118
"('C3', 'C3')",9999999.0
"('C3', 'C4')",70223.436
"('C3', 'C5')",101241.819
"('C3', 'C6')",87051.591
"('C3', 'C7')",51848.91
"('C3', 'C8')",38386.386
"('C3', 'C9')",53910.738
"('C3', 'C10')",49089.699
"('C3', 'C11')",32625.396
"('C3', 'C12')",56093.85
"('C3', 'C13')",20466.675
"('C3', 'C14')",51272.811
"('C3', 'C15')",28410.777
"('C3', 'C16')",6033.879
"('C3', 'C17')",17434.575
"('C3', 'C18')",13007.709
"('C3', 'C19')",16797.834
"('C3', 'C20')",52152.12
"('C3', 'C21')",49301.946
"('C3', 'C22')",18799.02
"('C3', 'C23')",30775.815
"('C3', 'C24')",31776.408
"('C3', 'C25')",37931.571
"('C3', 'C26')",25712.208
"('C3', 'C27')",25590.924
"('C3', 'C28')",10096.893
"('C3', 'C29')",48180.069
"('C3', 'C30')",23013.639
"('C3', 'C31')",99604.485
"('C3', 'C32')",28623.024
"('C3', 'C33')",25894.134
"('C3', 'C34')",31715.766
"('C3', 'C35')",35687.817
"('C3', 'C36')",23286.528
"('C3', 'C37')",18526.131
"('C3', 'C38')",26985.69
"('C4', 'CD1')",26318.628
"('C4', 'CD2')",90963.0
"('C4', 'CD3')",23801.985
"('C4', 'CD4')",18799.02
"('C4', 'CD5')",66402.99
"('C4', 'CD6')",54547.479
"('C4', 'CD7')",54881.01
"('C4', 'CD8')",44450.586
"('C4', 'CD9')",27713.394
"('C4', 'CD10')",83958.849
"('C4', 'CD11')",44208.018
"('C4', 'CD12')",70647.93
"('C4', 'C1')",60642.0
"('C4', 'C2')",11279.412
"('C4', 'C3')",62916.075
"('C4', 'C4')",9999999.0
"('C4', 'C5')",42328.116
"('C4', 'C6')",28137.888
"('C4', 'C7')",15797.241
"('C4', 'C8')",99392.238
"('C4', 'C9')",31928.013
"('C4', 'C10')",33262.137
"('C4', 'C11')",58428.567
"('C4', 'C12')",37689.003
"('C4', 'C13')",66069.459
"('C4', 'C14')",35445.249
"('C4', 'C15')",58155.678
"('C4', 'C16')",65493.36
"('C4', 'C17')",73407.141
"('C4', 'C18')",70071.831
"('C4', 'C19')",77257.908
"('C4', 'C20')",21558.231
"('C4', 'C21')",41297.202
"('C4', 'C22')",70405.362
"('C4', 'C23')",60520.716
"('C4', 'C24')",47209.797
"('C4', 'C25')",84565.269
"('C4', 'C26')",58276.962
"('C4', 'C27')",72254.943
"('C4', 'C28')",60429.753
"('C4', 'C29')",31594.482
"('C4', 'C30')",57609.9
"('C4', 'C31')",40721.103
"('C4', 'C32')",55881.603
"('C4', 'C33')",79744.23
"('C4', 'C34')",58095.036
"('C4', 'C35')",48816.81
"('C4', 'C36')",86020.677
"('C4', 'C37')",63310.248
"('C4', 'C38')",46330.488
"('C5', 'CD1')",42904.215
"('C5', 'CD2')",118646.073
"('C5', 'CD3')",24438.726
"('C5', 'CD4')",48543.921
"('C5', 'CD5')",98088.435
"('C5', 'CD6')",86232.924
"('C5', 'CD7')",82564.083
"('C5', 'CD8')",76136.031
"('C5', 'CD9')",44208.018
"('C5', 'CD10')",111641.922
"('C5', 'CD11')",75893.463
"('C5', 'CD12')",98331.003
"('C5', 'C1')",92297.124
"('C5', 'C2')",46269.846
"('C5', 'C3')",94571.199
"('C5', 'C4')",42570.684
"('C5', 'C5')",9999999.0
"('C5', 'C6')",22104.009
"('C5', 'C7')",45542.142
"('C5', 'C8')",127075.311
"('C5', 'C9')",47513.007
"('C5', 'C10')",60945.21
"('C5', 'C11')",90114.012
